C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1348.11	138.5	806.024	806.024
1348.61	138	802.476	802.476
1349.11	137.5	790.464	790.464
1349.61	137	785.657	785.657
1350.11	136.5	791.372	791.372
1350.61	136	778.84	778.84
1351.11	135.5	762.665	762.665
1351.61	135	763.693	763.693
1352.11	134.5	770.384	770.384
1352.61	134	773.58	773.58
1353.11	133.5	746.709	746.709
1353.61	133	746.234	746.234
1354.11	132.5	743.89	743.89
1354.61	132	748.686	748.686
1355.11	131.5	744.495	744.495
1355.61	131	760.056	760.056
1356.11	130.5	752.542	752.542
1356.61	130	745.838	745.838
1357.11	129.5	746.385	746.385
1357.61	129	731.645	731.645
1358.11	128.5	735.525	735.525
1358.61	128	741.936	741.936
1359.11	127.5	731.391	731.391
1359.61	127	728.172	728.172
1360.11	126.5	744.184	744.184
1360.61	126	760.166	760.166
1361.11	125.5	780.179	780.179
1361.61	125	797.876	797.876
1362.11	124.5	815.904	815.904
1362.61	124	854.224	854.224
1363.11	123.5	900.892	900.892
1363.61	123	944.076	944.076
1364.11	122.5	963.592	963.592
1364.61	122	943.92	943.92
1365.11	121.5	895.43	895.43
1365.61	121	844.43	844.43
1366.11	120.5	786.377	786.377
1366.61	120	729.21	729.21
1367.11	119.5	714.807	714.807
1367.61	119	689.219	689.219
1368.11	118.5	691.338	691.338
1368.61	118	676.976	676.976
1369.11	117.5	680.782	680.782
1369.61	117	675.859	675.859
1370.11	116.5	662.432	662.432
1370.61	116	657.208	657.208
1371.11	115.5	652.841	652.841
1371.61	115	656.277	656.277
1372.11	114.5	651.213	651.213
1372.61	114	642.184	642.184
1373.11	113.5	654.165	654.165
1373.61	113	645.873	645.873
1374.11	112.5	643.09	643.09
1374.61	112	633.225	633.225
1375.11	111.5	632.944	632.944
1375.61	111	630.251	630.251
1376.11	110.5	634.957	634.957
1376.61	110	631.064	631.064
1377.11	109.5	641.401	641.401
1377.61	109	645.16	645.16
1378.11	108.5	639.846	639.846
1378.61	108	639.046	639.046
1379.11	107.5	650.599	650.599
1379.61	107	644.211	644.211
1380.11	106.5	645.569	645.569
1380.61	106	632.289	632.289
1381.11	105.5	647.116	647.116
1381.61	105	638.539	638.539
1382.11	104.5	629.125	629.125
1382.61	104	635.338	635.338
1383.11	103.5	638.695	638.695
1383.61	103	635.102	635.102
1384.11	102.5	629.559	629.559
1384.61	102	639.493	639.493
