C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
520.31	966.3	2214.06	2214.06
520.41	966.2	2190.49	2190.49
520.51	966.1	2209.66	2209.66
520.61	966	2207.57	2207.57
520.71	965.9	2197.89	2197.89
520.81	965.8	2236.43	2236.43
520.91	965.7	2209.24	2209.24
521.01	965.6	2253.21	2253.21
521.11	965.5	2188.86	2188.86
521.21	965.4	2195.17	2195.17
521.31	965.3	2193.9	2193.9
521.41	965.2	2237.98	2237.98
521.51	965.1	2235.49	2235.49
521.61	965	2223.37	2223.37
521.71	964.9	2247.26	2247.26
521.81	964.8	2199.55	2199.55
521.91	964.7	2215.43	2215.43
522.01	964.6	2214.87	2214.87
522.11	964.5	2225.19	2225.19
522.21	964.4	2226.59	2226.59
522.31	964.3	2235.78	2235.78
522.41	964.2	2187.07	2187.07
522.51	964.1	2155.96	2155.96
522.61	964	2193.78	2193.78
522.71	963.9	2199.89	2199.89
522.81	963.8	2220.16	2220.16
522.91	963.7	2231.12	2231.12
523.01	963.6	2191.51	2191.51
523.11	963.5	2225.98	2225.98
523.21	963.4	2231.17	2231.17
523.31	963.3	2193.03	2193.03
523.41	963.2	2190.67	2190.67
523.51	963.1	2266.04	2266.04
523.61	963	2217.34	2217.34
523.71	962.9	2175.73	2175.73
523.81	962.8	2147.43	2147.43
523.91	962.7	2244.24	2244.24
524.01	962.6	2216.21	2216.21
524.11	962.5	2170.15	2170.15
524.21	962.4	2167.42	2167.42
524.31	962.3	2232.23	2232.23
524.41	962.2	2221.6	2221.6
524.51	962.1	2234.69	2234.69
524.61	962	2250.61	2250.61
524.71	961.9	2251.83	2251.83
524.81	961.8	2214.98	2214.98
524.91	961.7	2186.54	2186.54
525.01	961.6	2193.14	2193.14
525.11	961.5	2211.69	2211.69
525.21	961.4	2225.04	2225.04
525.31	961.3	2247.88	2247.88
525.41	961.2	2222.15	2222.15
525.51	961.1	2287.04	2287.04
525.61	961	2262.46	2262.46
525.71	960.9	2255.33	2255.33
525.81	960.8	2249.09	2249.09
525.91	960.7	2221.98	2221.98
526.01	960.6	2237.53	2237.53
526.11	960.5	2211.55	2211.55
526.21	960.4	2225.62	2225.62
526.31	960.3	2276.21	2276.21
526.41	960.2	2218.4	2218.4
526.51	960.1	2223.22	2223.22
526.61	960	2250.99	2250.99
526.71	959.9	2193.19	2193.19
526.81	959.8	2174.04	2174.04
526.91	959.7	2171.82	2171.82
527.01	959.6	2196.83	2196.83
527.11	959.5	2198.19	2198.19
527.21	959.4	2217.84	2217.84
527.31	959.3	2181.88	2181.88
527.41	959.2	2140.6	2140.6
527.51	959.1	2172.66	2172.66
