c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex391_cec356_o2 test without sample 1.vms
O1s
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_O1s	BE_O1s	CPS_O1s	Background_O1s
593.41	893.2	1.19844	1.19844
593.51	893.1	1.11611	1.11611
593.61	893	1.0395	1.0395
593.71	892.9	0.816256	0.816256
593.81	892.8	0.860766	0.860766
593.91	892.7	0.82507	0.82507
594.01	892.6	0.923679	0.923679
594.11	892.5	0.877241	0.877241
594.21	892.4	0.682483	0.682483
594.31	892.3	0.871862	0.871862
594.41	892.2	1.08647	1.08647
594.51	892.1	1.09212	1.09212
594.61	892	0.682762	0.682762
594.71	891.9	0.57415	0.57415
594.81	891.8	1.11863	1.11863
594.91	891.7	0.934683	0.934683
595.01	891.6	0.829503	0.829503
595.11	891.5	0.776194	0.776194
595.21	891.4	0.713496	0.713496
595.31	891.3	1.30607	1.30607
595.41	891.2	1.39168	1.39168
595.51	891.1	0.944877	0.944877
595.61	891	1.00598	1.00598
595.71	890.9	1.07898	1.07898
595.81	890.8	0.992848	0.992848
595.91	890.7	0.568397	0.568397
596.01	890.6	0.829176	0.829176
596.11	890.5	1.26331	1.26331
596.21	890.4	1.04449	1.04449
596.31	890.3	1.00154	1.00154
596.41	890.2	0.909541	0.909541
596.51	890.1	0.814697	0.814697
596.61	890	0.787445	0.787445
596.71	889.9	0.793826	0.793826
596.81	889.8	0.868022	0.868022
596.91	889.7	0.952804	0.952804
597.01	889.6	1.14041	1.14041
597.11	889.5	1.09152	1.09152
597.21	889.4	0.974586	0.974586
597.31	889.3	1.09679	1.09679
597.41	889.2	1.15075	1.15075
597.51	889.1	0.819629	0.819629
597.61	889	0.892272	0.892272
597.71	888.9	1.09437	1.09437
597.81	888.8	1.13622	1.13622
597.91	888.7	0.839226	0.839226
598.01	888.6	0.790235	0.790235
598.11	888.5	1.00774	1.00774
598.21	888.4	0.688173	0.688173
598.31	888.3	1.0001	1.0001
598.41	888.2	1.14998	1.14998
598.51	888.1	0.977878	0.977878
598.61	888	0.948102	0.948102
598.71	887.9	1.22111	1.22111
598.81	887.8	1.27546	1.27546
598.91	887.7	1.07627	1.07627
599.01	887.6	1.18217	1.18217
599.11	887.5	0.631068	0.631068
599.21	887.4	0.789827	0.789827
599.31	887.3	0.919129	0.919129
599.41	887.2	1.61013	1.61013
599.51	887.1	1.03562	1.03562
599.61	887	0.792735	0.792735
599.71	886.9	0.922222	0.922222
599.81	886.8	0.991744	0.991744
599.91	886.7	1.14992	1.14992
600.01	886.6	1.30961	1.30961
600.11	886.5	1.06097	1.06097
600.21	886.4	0.781744	0.781744
600.31	886.3	1.17132	1.17132
600.41	886.2	0.778391	0.778391
600.51	886.1	0.86545	0.86545
600.61	886	0.984543	0.984543
600.71	885.9	1.17393	1.17393
600.81	885.8	1.16906	1.16906
600.91	885.7	1.13249	1.13249
601.01	885.6	1.15239	1.15239
601.11	885.5	0.935252	0.935252
601.21	885.4	0.680841	0.680841
601.31	885.3	0.96119	0.96119
601.41	885.2	1.12554	1.12554
601.51	885.1	0.916122	0.916122
601.61	885	0.635888	0.635888
601.71	884.9	0.746921	0.746921
601.81	884.8	0.776768	0.776768
601.91	884.7	0.625955	0.625955
602.01	884.6	0.832056	0.832056
602.11	884.5	0.904913	0.904913
602.21	884.4	0.558881	0.558881
602.31	884.3	0.736168	0.736168
602.41	884.2	0.998861	0.998861
602.51	884.1	0.916942	0.916942
602.61	884	0.83768	0.83768
602.71	883.9	1.08821	1.08821
602.81	883.8	1.26887	1.26887
602.91	883.7	0.657657	0.657657
603.01	883.6	0.759556	0.759556
603.11	883.5	0.77825	0.77825
603.21	883.4	0.707527	0.707527
603.31	883.3	0.724029	0.724029
603.41	883.2	1.07509	1.07509
603.51	883.1	0.985185	0.985185
603.61	883	1.32225	1.32225
603.71	882.9	1.15881	1.15881
603.81	882.8	0.954465	0.954465
603.91	882.7	1.07645	1.07645
604.01	882.6	1.37147	1.37147
604.11	882.5	1.27361	1.27361
604.21	882.4	1.11957	1.11957
604.31	882.3	0.942077	0.942077
604.41	882.2	1.39718	1.39718
604.51	882.1	1.15305	1.15305
604.61	882	1.05849	1.05849
604.71	881.9	0.683123	0.683123
604.81	881.8	0.720934	0.720934
604.91	881.7	0.861708	0.861708
605.01	881.6	1.22545	1.22545
605.11	881.5	0.787452	0.787452
605.21	881.4	1.49864	1.49864
605.31	881.3	1.04622	1.04622
605.41	881.2	0.887211	0.887211
605.51	881.1	1.17724	1.17724
605.61	881	0.907146	0.907146
605.71	880.9	1.12873	1.12873
605.81	880.8	1.04389	1.04389
605.91	880.7	0.972479	0.972479
606.01	880.6	0.729357	0.729357
606.11	880.5	0.993334	0.993334
606.21	880.4	1.22011	1.22011
606.31	880.3	1.11096	1.11096
606.41	880.2	0.957528	0.957528
606.51	880.1	1.12823	1.12823
606.61	880	0.961686	0.961686
606.71	879.9	0.857101	0.857101
606.81	879.8	1.19368	1.19368
606.91	879.7	1.36396	1.36396
607.01	879.6	1.18037	1.18037
607.11	879.5	1.02389	1.02389
607.21	879.4	0.944684	0.944684
607.31	879.3	0.866535	0.866535
607.41	879.2	0.903484	0.903484
607.51	879.1	0.873644	0.873644
607.61	879	0.886319	0.886319
607.71	878.9	0.855869	0.855869
607.81	878.8	0.810083	0.810083
607.91	878.7	0.754414	0.754414
608.01	878.6	1.0029	1.0029
608.11	878.5	0.914144	0.914144
608.21	878.4	1.0725	1.0725
608.31	878.3	0.992033	0.992033
608.41	878.2	0.779046	0.779046
608.51	878.1	0.799122	0.799122
608.61	878	1.08945	1.08945
