C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
550.51	936.1	11010.8
550.61	936	11113.7
550.71	935.9	11307
550.81	935.8	11495
550.91	935.7	11589.1
551.01	935.6	11768.8
551.11	935.5	12032.1
551.21	935.4	12149.8
551.31	935.3	12391.1
551.41	935.2	12624.9
551.51	935.1	12761.6
551.61	935	12901.3
551.71	934.9	13159.4
551.81	934.8	13319.9
551.91	934.7	13496.6
552.01	934.6	13711.7
552.11	934.5	13946.3
552.21	934.4	14245.8
552.31	934.3	14485.1
552.41	934.2	14812.4
552.51	934.1	15145.5
552.61	934	15535
552.71	933.9	16056.6
552.81	933.8	16655.3
552.91	933.7	17338.4
553.01	933.6	18344.9
553.11	933.5	19510.2
553.21	933.4	20997
553.31	933.3	23060.9
553.41	933.2	25715.7
553.51	933.1	28972.6
553.61	933	32900.1
553.71	932.9	36964.6
553.81	932.8	40901.3
553.91	932.7	44107
554.01	932.6	45802.4
554.11	932.5	45954.9
554.21	932.4	44402.4
554.31	932.3	41447.6
554.41	932.2	37468.5
554.51	932.1	33142.7
554.61	932	28856.4
554.71	931.9	24961.9
554.81	931.8	21552
554.91	931.7	18615.8
555.01	931.6	16235.8
555.11	931.5	14446.1
555.21	931.4	12932.3
555.31	931.3	11884.4
555.41	931.2	10946.2
555.51	931.1	10233.2
555.61	931	9656.76
555.71	930.9	9203.23
555.81	930.8	8806.13
555.91	930.7	8558.61
556.01	930.6	8333.26
556.11	930.5	8120.59
556.21	930.4	7962.53
556.31	930.3	7792.44
556.41	930.2	7673.74
556.51	930.1	7546.46
556.61	930	7476.8
556.71	929.9	7379.5
556.81	929.8	7282.71
556.91	929.7	7255.37
557.01	929.6	7146.93
557.11	929.5	7068.36
557.21	929.4	7082.51
557.31	929.3	7044.9
557.41	929.2	6999.1
557.51	929.1	6929.84
